"差分更新方法","廃盤","品目区分","商品コード","商品名","商品名（カナ）","標準原価","通貨【標準取引通貨：仕入先マスタ】","単位容積","単位重量","関税率","消費税区分【消費税区分マスタ】","消費税率【消費税区分マスタ】","仕入先コード【仕入先マスタ 一覧】","仕入先名【仕入先マスタ 一覧】","仕入先ID","商品ID","消費税区分ID","食品検査対象","中分類ID","中分類名","大分類名","大分類ID","作成者","作成日時","更新者","更新日時"
,"field_1775802103","field_1775802315","field_1775802410","field_1775802446","field_1775802618","field_1775802736","field_1775787600","field_1775803140","field_1775803188","field_1775803230","field_1775785281","field_1775785322","field_1775802144","field_1775802187","field_1775808221","field_1775802167","field_1775803303","field_1776928155","field_1779350790","field_1779350476","field_1779348036","field_1779350366","_created_by","_created_at","_updated_by","_updated_at"
,"false","PKG","0001000","NX商事 資材","NXショウジシザイ",,"USD",,,,,,"008000","日本育児　商品振替用","209","1",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0040001","スマートビデオモニター専用 どこでもポール","スマートビデオモニターセンヨウドコデモポール",,"USD",,,,,,"000004","日本ハンガーボード販売株式会社","3","2",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0040003","窓からおちないゾ～","マドカラオチナイゾ～",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","3",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0040004","のぼれんにゃん用 外枠","ノボレンニゃんヨウガイワク",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","4",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0040005","ねこっとハウス用 外枠セット","ネコットハウスヨウガイワクセット",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","5",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0040006","のぼれんにゃん追加サイドポール","ノボレンニャンツイカサイドポール",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","6",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0040007","木製のぼれんにゃん ポール部品セット","モクセイノボレンニャンポールブヒンセット","3500","USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","7",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0040008","木の ノボレンニャン 拡張パネル用ポール","キノノボレンニャンカクチョウパネルヨウポール",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","8",,"false","49","ノボレンニャン","ペット","11","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/05/22 10:48:31"
,"false","SKU","0040009","窓からおちないぞう 木の実","マドカラオチナイゾウコノミ",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","9",,"false","8","トオセンボ","ベビーゲイト（つっぱり式）","2","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/05/22 10:48:31"
,"false","SKU","0040010","窓からおちないぞう リーフ","マドカラオチナイゾウリーフ",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","10",,"false","8","トオセンボ","ベビーゲイト（つっぱり式）","2","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/05/22 10:48:31"
,"false","SKU","0040154","とおせんぼナチュラルXLサイズ","トオセンボナチュラルXLサイズ",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","11",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0040155","とおせんぼ XL ブラウンドット","トオセンボXLブラウンドット",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","12",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0040156","とおせんぼⅡ XL ナチュラル","トオセンボⅡXLナチュラル",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","13",,"false","8","トオセンボ","ベビーゲイト（つっぱり式）","2","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/05/22 10:48:31"
,"false","SKU","0040157","とおせんぼ ライトグレードット XL","トオセンボライトグレードットXL",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","14",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0040158","とおせんぼ XL ブラウン","トオセンボXLブラウン",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","15",,"false","8","トオセンボ","ベビーゲイト（つっぱり式）","2","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/05/22 10:48:31"
,"false","SKU","0040159","とおせんぼ XL 木の実","トオセンボXLキノミ",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","16",,"false","8","トオセンボ","ベビーゲイト（つっぱり式）","2","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/05/22 10:48:31"
,"false","SKU","0040160","とおせんぼ リーフ XL","トオセンボリーフXL",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","17",,"false","8","トオセンボ","ベビーゲイト（つっぱり式）","2","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/05/22 10:48:31"
,"false","SKU","0044147","らくらくとおせんぼⅡ S","ラクラクトオセンボⅡS",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","18",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0044148","らくらくとおせんぼⅡ M","ラクラクトオセンボⅡM",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","19",,"false",,,,,"池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30"
,"false","SKU","0044220","突っ張りポールセット白(2本セット)","ツッパリポールセットシロ(2ホンセット)",,"USD",,,"0",,,"000004","日本ハンガーボード販売株式会社","3","20",,"false","8","トオセンボ","ベビーゲイト（つっぱり式）","2","池水法弘(ikemizu_norihiro)","2026/04/10 17:07:30","池水法弘(ikemizu_norihiro)","2026/05/22 10:48:31"
